"Date","Price","Open","High","Low","Change %"
"Sep 23, 2018","6.0560","6.2384","6.3323","5.9320","-3.78%"
"Sep 16, 2018","6.2937","6.1819","6.4659","6.1050","2.00%"
"Sep 09, 2018","6.1703","6.3860","6.5514","5.9820","-3.54%"
"Sep 02, 2018","6.3970","6.5429","6.7454","6.3615","-2.16%"
"Aug 26, 2018","6.5380","6.0248","6.8470","5.9819","8.84%"
"Aug 19, 2018","6.0068","6.0290","6.2010","5.9530","-0.12%"
"Aug 12, 2018","6.0140","6.4138","7.2169","5.6665","-6.43%"
"Aug 05, 2018","6.4275","5.0796","6.8020","5.0796","26.49%"
"Jul 29, 2018","5.0815","4.8446","5.1135","4.8394","4.71%"
"Jul 22, 2018","4.8529","4.7939","4.9383","4.7305","1.26%"
"Jul 15, 2018","4.7927","4.8435","4.8680","4.7610","-1.29%"
"Jul 08, 2018","4.8552","4.5694","4.9721","4.5060","6.23%"
"Jul 01, 2018","4.5704","4.5895","4.7254","4.5684","-0.37%"
"Jun 24, 2018","4.5872","4.6580","4.7229","4.5330","-1.93%"
"Jun 17, 2018","4.6773","4.7272","4.7753","4.6585","-1.12%"
"Jun 10, 2018","4.7301","4.4754","4.7602","4.4590","5.72%"
"Jun 03, 2018","4.4740","4.6495","4.6791","4.4510","-3.80%"
"May 27, 2018","4.6508","4.7090","4.7174","4.4410","-1.22%"
"May 20, 2018","4.7081","4.4912","4.9241","4.4874","4.82%"
"May 13, 2018","4.4917","4.3137","4.5060","4.2998","4.13%"
"May 06, 2018","4.3136","4.2260","4.3746","4.2197","2.07%"
"Apr 29, 2018","4.2260","4.0461","4.2921","4.0265","4.55%"
"Apr 22, 2018","4.0422","4.0763","4.1144","4.0295","-0.84%"
"Apr 15, 2018","4.0766","4.0960","4.1266","4.0035","-0.50%"
"Apr 08, 2018","4.0969","4.0410","4.1930","4.0315","1.29%"
"Apr 01, 2018","4.0449","3.9553","4.0680","3.9507","2.27%"
"Mar 25, 2018","3.9552","3.9803","4.0163","3.9325","-0.68%"
"Mar 18, 2018","3.9824","3.9105","4.0356","3.8960","1.60%"
"Mar 11, 2018","3.9196","3.8090","3.9266","3.8025","2.85%"
"Mar 04, 2018","3.8111","3.8074","3.8296","3.7827","0.11%"
"Feb 25, 2018","3.8071","3.7870","3.8252","3.7720","0.44%"
"Feb 18, 2018","3.7905","3.7478","3.8145","3.7431","1.15%"
"Feb 11, 2018","3.7474","3.8194","3.8275","3.7345","-1.97%"
"Feb 04, 2018","3.8226","3.7688","3.8456","3.7525","1.30%"
"Jan 28, 2018","3.7734","3.7559","3.8020","3.7279","0.50%"
"Jan 21, 2018","3.7548","3.8333","3.8508","3.7144","-1.36%"
"Jan 14, 2018","3.8065","3.7489","3.8349","3.7434","1.55%"
"Jan 07, 2018","3.7483","3.7329","3.8091","3.7308","0.31%"
"Dec 31, 2017","3.7367","3.7858","3.7986","3.7275","-1.41%"
"Dec 24, 2017","3.7900","3.8097","3.8283","3.7592","-0.67%"
"Dec 17, 2017","3.8157","3.8632","3.8710","3.8068","-1.19%"
"Dec 10, 2017","3.8617","3.8405","3.8990","3.8093","0.60%"
"Dec 03, 2017","3.8388","3.9173","3.9478","3.8237","-1.90%"
"Nov 26, 2017","3.9131","3.9497","3.9735","3.8874","-0.78%"
"Nov 19, 2017","3.9437","3.8771","3.9825","3.8536","1.71%"
"Nov 12, 2017","3.8773","3.8620","3.9125","3.8478","0.35%"
"Nov 05, 2017","3.8636","3.8843","3.9038","3.8222","-0.59%"
"Oct 29, 2017","3.8864","3.7910","3.8899","3.7610","2.58%"
"Oct 22, 2017","3.7885","3.6709","3.8432","3.6707","3.19%"
"Oct 15, 2017","3.6714","3.6300","3.6909","3.6275","1.00%"
"Oct 08, 2017","3.6349","3.6157","3.7704","3.6157","0.55%"
"Oct 01, 2017","3.6149","3.5639","3.6380","3.5575","1.44%"
"Sep 24, 2017","3.5637","3.4920","3.5970","3.4920","1.93%"
"Sep 17, 2017","3.4962","3.4389","3.5210","3.4280","1.70%"
"Sep 10, 2017","3.4376","3.4117","3.4780","3.3845","0.76%"
"Sep 03, 2017","3.4117","3.4263","3.4520","3.3944","-0.49%"
"Aug 27, 2017","3.4284","3.4381","3.4733","3.4132","-0.31%"
"Aug 20, 2017","3.4389","3.5121","3.5244","3.4331","-2.26%"
"Aug 13, 2017","3.5185","3.5395","3.5489","3.5080","-0.52%"
"Aug 06, 2017","3.5369","3.5283","3.5596","3.5202","0.25%"
"Jul 30, 2017","3.5280","3.5292","3.5488","3.5080","0.00%"
"Jul 23, 2017","3.5279","3.5360","3.5772","3.5160","-0.24%"
"Jul 16, 2017","3.5364","3.5379","3.5526","3.5090","-0.05%"
"Jul 09, 2017","3.5381","3.6161","3.6450","3.5249","-2.21%"
"Jul 02, 2017","3.6182","3.5206","3.6474","3.5110","2.75%"
"Jun 25, 2017","3.5212","3.5089","3.5390","3.4897","0.35%"
"Jun 18, 2017","3.5088","3.5027","3.5506","3.4837","0.17%"
"Jun 11, 2017","3.5027","3.5368","3.5407","3.4735","-0.98%"
"Jun 04, 2017","3.5373","3.5083","3.5587","3.4935","0.78%"
"May 28, 2017","3.5098","3.5783","3.5885","3.5017","-1.90%"
"May 21, 2017","3.5777","3.5762","3.5943","3.5450","0.07%"
"May 14, 2017","3.5753","3.5710","3.6423","3.5340","0.06%"
"May 07, 2017","3.5731","3.5364","3.6287","3.5270","0.82%"
"Apr 30, 2017","3.5441","3.5512","3.5782","3.5170","-0.21%"
"Apr 23, 2017","3.5516","3.6399","3.6399","3.5350","-2.43%"
"Apr 16, 2017","3.6401","3.6330","3.7172","3.6260","-2.48%"
